Product,Regular price,Sale price
AH Franse baguettes,0.75,NA
Lea & Perrins Worcestershire saus,2.09,NA
AH Aardappelballetjes,1.89,NA
Campina Halfvolle yoghurt vanillesmaak,1.79,NA
AH Galia meloen,2.49,NA
AH Koffiefilters no2,0.79,NA
AH Smeerkaas naturel,0.59,NA
AH Roomkaas met kruiden,0.85,NA
Chiarli 1860 Lambrusco bianco,2.59,NA
Cave de Beblenheim AOC Alsace riesling,7.29,NA
Cave de Beblenheim Pinot blanc,5.79,NA
AH Fruitcocktail siroop,1.79,NA
AH Amsterdamse uien,0.85,NA
Greenminds Schrijfblok A4 gelinieerd,2.59,NA
AH Blik brokjes zalm forel,0.79,NA
AH Blik brokjes wild gevogelte,0.79,NA
AH Blik brokjes kip kalkoen,0.79,NA
AH Pate met rund,0.85,NA
AH Blik pate rund wild,0.99,NA
Conqueror Tawny port,7.29,NA
Grolsch Premium pilsner bier 6pack,6.49,NA
Appelsientje Tomatientje,2.39,NA
Glorix original bleek,1.59,NA
AH Vuilnisemmerzakken 35L,2.19,NA
AH Servetten 2-laags 33x33 cm wit,1.99,NA
AH Tissues zacht & sterk,1.49,NA
AH Dikke bleek,0.9,NA
AH Afwasmiddel citrus,1.19,NA
AH Pizzabroodjes salami,1.49,NA
AH Pizza kaas tomaat,1.39,NA
AH Chantilly,3.29,NA
AH Roomijs malaga,3.49,NA
AH Roomijs stracciatella,2.79,NA
AH Roomijs vanille,2.79,NA
AH Aardappelschijfjes,1.95,NA
AH Spinazie fijn gesneden,0.85,NA
AH Aardappelkroketjes,1.49,NA
AH Spinazie à la creme,0.95,NA
AH Kabeljauw,4.55,NA
AH Vrieslollies,1.19,NA
AH Witte bonen in tomatensaus,0.79,NA
AH Lekkerbekjes,2.99,NA
AH Maiskorrels fris en knapperig,1.19,NA
AH Tomaten gepeld,0.69,NA
AH Witte bonen in tomatensaus,0.69,NA
AH Appelmoes 0% suiker toegevoegd,1.89,NA
AH Appelmoes 0% suiker toegevoegd,0.99,NA
AH Rabarbercompote,1.89,NA
AH Witte bonen,1.15,NA
AH Appel-abrikozen compote,1.39,NA
AH Appelcompote,0.89,NA
AH Gebroken sperziebonen,1.19,NA
AH Gebroken sperziebonen,0.89,NA
AH Tuinbonen,1.25,NA
AH Kapucijners,2.29,NA
AH Doperwten en wortelen,0.99,NA
AH Doperwten,1.15,NA
AH Doperwten,1.45,NA
AH Hollandse bruine bonen,1.45,NA
AH Hollandse bruine bonen,1.09,NA
AH Hollandse bruine bonen,0.85,NA
